modeldate,state,pct_estimate
10/14/2020,California,31.49615
10/24/2020,California,31.50685
10/15/2020,California,31.507620000000003
10/24/2020,New York,31.60312
9/16/2020,California,31.6316
10/23/2020,Rhode Island,31.64838
10/22/2020,New York,31.67006
10/13/2020,Hawaii,31.696109999999997
10/14/2020,Hawaii,31.71658
10/26/2020,California,31.746309999999998
10/25/2020,California,31.74646
10/12/2020,Hawaii,31.75662
10/8/2020,Hawaii,31.75674
10/4/2020,Hawaii,31.7584
10/7/2020,Maryland,31.75915
10/3/2020,Hawaii,31.75925
10/23/2020,New York,31.759659999999997
10/22/2020,Rhode Island,31.760109999999997
10/11/2020,Hawaii,31.76646
10/7/2020,Hawaii,31.7685
10/21/2020,New York,31.77447
10/5/2020,Hawaii,31.774990000000003
10/6/2020,Hawaii,31.78029
10/9/2020,Hawaii,31.79832
10/10/2020,Hawaii,31.808090000000004
8/13/2020,California,31.81666
10/20/2020,New York,31.81683
10/4/2020,Maryland,31.82442
10/3/2020,Maryland,31.82613
10/13/2020,New York,31.833240000000004
10/19/2020,New York,31.8356
10/6/2020,Maryland,31.84037
10/5/2020,Maryland,31.84145
10/21/2020,Rhode Island,31.85225
10/16/2020,New York,31.85384
10/17/2020,New York,31.86004
10/14/2020,New York,31.8604
10/18/2020,New York,31.869590000000002
10/15/2020,New York,31.870659999999997
10/4/2020,New York,31.91835
10/3/2020,New York,31.918390000000002
10/12/2020,New York,31.93342
10/5/2020,New York,31.935470000000002
10/8/2020,New York,31.93651
10/7/2020,New York,31.943070000000002
10/11/2020,New York,31.94463
10/6/2020,New York,31.94533
10/9/2020,New York,31.97855
10/10/2020,New York,31.98787
9/15/2020,California,32.09957
9/9/2020,California,32.099759999999996
9/13/2020,California,32.10125
9/14/2020,California,32.106190000000005
9/10/2020,California,32.11652
9/12/2020,California,32.11808
9/8/2020,California,32.12274
9/11/2020,California,32.135490000000004
9/7/2020,California,32.1401
10/18/2020,Rhode Island,32.1792
10/17/2020,Rhode Island,32.25472
10/16/2020,Rhode Island,32.39273
10/2/2020,New York,32.402409999999996
5/12/2020,Massachusetts,32.4138
5/9/2020,Massachusetts,32.42615
5/13/2020,Massachusetts,32.427170000000004
10/20/2020,Rhode Island,32.431
5/6/2020,Massachusetts,32.43375
5/11/2020,Massachusetts,32.44014
5/10/2020,Massachusetts,32.4402
5/7/2020,Massachusetts,32.440490000000004
5/21/2020,Massachusetts,32.441720000000004
5/14/2020,Massachusetts,32.44234
7/10/2020,Massachusetts,32.44429
5/22/2020,Massachusetts,32.44449
7/2/2020,Massachusetts,32.44542
7/5/2020,Massachusetts,32.44552
7/6/2020,Massachusetts,32.44556
7/7/2020,Massachusetts,32.44558
7/4/2020,Massachusetts,32.44569
7/3/2020,Massachusetts,32.44569
7/9/2020,Massachusetts,32.44795
7/12/2020,Massachusetts,32.44807
7/11/2020,Massachusetts,32.449059999999996
5/8/2020,Massachusetts,32.45069
9/22/2020,Vermont,32.45231
6/29/2020,Massachusetts,32.453559999999996
5/26/2020,Massachusetts,32.45412
7/14/2020,Massachusetts,32.45448
5/15/2020,Massachusetts,32.45482
5/17/2020,Massachusetts,32.45534
9/26/2020,Vermont,32.45544
9/29/2020,Vermont,32.45639
7/8/2020,Massachusetts,32.45758
9/28/2020,Vermont,32.45779
5/16/2020,Massachusetts,32.45863
10/2/2020,Vermont,32.46
10/1/2020,Vermont,32.46001
9/30/2020,Vermont,32.46029
9/27/2020,Vermont,32.46034
5/27/2020,Massachusetts,32.46154
7/1/2020,Massachusetts,32.46213
9/25/2020,Vermont,32.46226
5/25/2020,Massachusetts,32.46281
5/24/2020,Massachusetts,32.46281
9/24/2020,Vermont,32.46301
9/23/2020,Vermont,32.46329
5/23/2020,Massachusetts,32.46331
5/20/2020,Massachusetts,32.46342
5/19/2020,Massachusetts,32.4635
5/18/2020,Massachusetts,32.464490000000005
7/13/2020,Massachusetts,32.46479
6/24/2020,Massachusetts,32.46562
6/25/2020,Massachusetts,32.46775
6/30/2020,Massachusetts,32.46833
8/4/2020,California,32.472770000000004
8/10/2020,California,32.47851
6/23/2020,Massachusetts,32.48107
8/6/2020,California,32.48591
6/11/2020,Massachusetts,32.48787
6/10/2020,Massachusetts,32.48858
6/12/2020,Massachusetts,32.48879
6/6/2020,Massachusetts,32.48904
6/9/2020,Massachusetts,32.489090000000004
6/5/2020,Massachusetts,32.489959999999996
6/4/2020,Massachusetts,32.49018
6/8/2020,Massachusetts,32.49037
7/18/2020,Massachusetts,32.49072
6/3/2020,Massachusetts,32.49116
6/28/2020,Massachusetts,32.49175
6/27/2020,Massachusetts,32.49175
6/7/2020,Massachusetts,32.49178
6/1/2020,Massachusetts,32.492979999999996
7/26/2020,Massachusetts,32.4955
8/12/2020,California,32.495979999999996
8/9/2020,California,32.49675
6/26/2020,Massachusetts,32.497009999999996
7/15/2020,Massachusetts,32.49772
7/17/2020,Massachusetts,32.49774
7/16/2020,Massachusetts,32.4979
8/8/2020,California,32.49872
8/7/2020,California,32.49872
5/30/2020,Massachusetts,32.49904
6/17/2020,Massachusetts,32.49964
7/27/2020,Massachusetts,32.50163
6/19/2020,Massachusetts,32.50277
6/18/2020,Massachusetts,32.502829999999996
6/21/2020,Massachusetts,32.50291
6/15/2020,Massachusetts,32.50332
6/16/2020,Massachusetts,32.50332
6/20/2020,Massachusetts,32.50335
6/14/2020,Massachusetts,32.50362
6/13/2020,Massachusetts,32.50374
6/2/2020,Massachusetts,32.50438
7/25/2020,Massachusetts,32.50492
8/5/2020,California,32.50557
7/24/2020,Massachusetts,32.509609999999995
5/29/2020,Massachusetts,32.51047
5/28/2020,Massachusetts,32.51047
5/31/2020,Massachusetts,32.51059
8/11/2020,California,32.51343
6/22/2020,Massachusetts,32.5144
7/21/2020,Massachusetts,32.53013
7/20/2020,Massachusetts,32.530359999999995
7/19/2020,Massachusetts,32.53083
5/3/2020,California,32.53791
5/4/2020,California,32.54432
7/22/2020,Massachusetts,32.5526
7/23/2020,Massachusetts,32.55403
5/2/2020,California,32.557109999999994
5/6/2020,California,32.558859999999996
5/7/2020,California,32.56474
10/19/2020,Rhode Island,32.56796
5/5/2020,California,32.56839
4/25/2020,California,32.57285
5/1/2020,California,32.57327
5/8/2020,California,32.57391
4/26/2020,California,32.57782
4/29/2020,California,32.582409999999996
4/30/2020,California,32.58251
4/28/2020,California,32.583290000000005
4/27/2020,California,32.58705
4/22/2020,California,32.589420000000004
4/21/2020,California,32.589420000000004
4/23/2020,California,32.589420000000004
4/24/2020,California,32.589420000000004
4/16/2020,California,32.59902
4/17/2020,California,32.59937
4/15/2020,California,32.60419
4/9/2020,California,32.60732
4/8/2020,California,32.60775
4/2/2020,California,32.60819
4/1/2020,California,32.60819
4/20/2020,California,32.609390000000005
4/13/2020,California,32.60946
4/12/2020,California,32.60955
4/6/2020,California,32.61047
4/19/2020,California,32.61156
3/29/2020,California,32.613
3/30/2020,California,32.61318
4/11/2020,California,32.61701
4/4/2020,California,32.62203
4/10/2020,California,32.62301
4/5/2020,California,32.626670000000004
4/7/2020,California,32.627990000000004
4/3/2020,California,32.635329999999996
4/18/2020,California,32.63688
4/14/2020,California,32.64143
3/31/2020,California,32.6475
5/3/2020,New York,32.84653
5/2/2020,New York,32.86591
4/25/2020,New York,32.875
4/26/2020,New York,32.880179999999996
5/1/2020,New York,32.881879999999995
4/28/2020,New York,32.8879
4/29/2020,New York,32.88926
4/30/2020,New York,32.889340000000004
4/24/2020,New York,32.88988
4/23/2020,New York,32.88988
4/27/2020,New York,32.89038
5/21/2020,California,32.98413
5/22/2020,California,32.98798
5/24/2020,California,33.00568
5/25/2020,California,33.00568
5/20/2020,California,33.00673
5/23/2020,California,33.00673
5/19/2020,California,33.00738
10/15/2020,Rhode Island,33.011540000000004
8/10/2020,ME-1,33.01247
8/6/2020,ME-1,33.01849
8/9/2020,ME-1,33.030770000000004
8/8/2020,ME-1,33.032379999999996
8/7/2020,ME-1,33.032379999999996
8/22/2020,ME-1,33.03856
10/6/2020,ME-1,33.04233
